Timestamp,06.005.BLK01.PAD04.INV01 - INV01 - Inverter04.AC_POWER (kW)
08/31/2018 14:05:00,1987.414354
08/31/2018 14:10:00,1996.012912
08/31/2018 14:15:00,1996.805769
08/31/2018 14:20:00,1995.783073
08/31/2018 14:25:00,1987.122207
08/31/2018 14:30:00,1996.793787
08/31/2018 14:35:00,1996.833881
08/31/2018 14:40:00,1997.188506
08/31/2018 14:45:00,1997.477585
08/31/2018 14:50:00,1995.685821
08/31/2018 14:55:00,1997.09387
08/31/2018 15:00:00,1996.478621
08/31/2018 15:05:00,1996.83813
08/31/2018 15:10:00,1996.446019
08/31/2018 15:15:00,1996.415373
08/31/2018 15:20:00,1997.614604
08/31/2018 15:25:00,1996.055347
08/31/2018 15:30:00,1997.629905
08/31/2018 15:35:00,1997.331963
08/31/2018 15:40:00,1995.166082
08/31/2018 15:45:00,1996.904321
08/31/2018 15:50:00,1996.895565
08/31/2018 15:55:00,1994.572121
08/31/2018 16:00:00,1965.832012
08/31/2018 16:05:00,1426.522885
08/31/2018 16:10:00,1932.27782
08/31/2018 16:15:00,1993.128387
08/31/2018 16:20:00,1996.867982
08/31/2018 16:25:00,1993.271461
08/31/2018 16:30:00,1993.611765
08/31/2018 16:35:00,1952.547707
08/31/2018 16:40:00,1996.966017
08/31/2018 16:45:00,1995.46557
08/31/2018 16:50:00,1997.301836
08/31/2018 16:55:00,1995.898012
08/31/2018 17:00:00,1996.085263
08/31/2018 17:05:00,1995.488428
08/31/2018 17:10:00,1470.301367
08/31/2018 17:15:00,1467.351087
08/31/2018 17:20:00,1996.897868
08/31/2018 17:25:00,1997.570117
08/31/2018 17:30:00,1997.40003
08/31/2018 17:35:00,1996.071669
08/31/2018 17:40:00,1997.199931
08/31/2018 17:45:00,1985.597355
08/31/2018 17:50:00,1980.17206
08/31/2018 17:55:00,1955.055087
08/31/2018 18:00:00,1933.472204
08/31/2018 18:05:00,1922.477584
08/31/2018 18:10:00,1899.410842
08/31/2018 18:15:00,1856.636921
08/31/2018 18:20:00,1852.334201
08/31/2018 18:25:00,1831.246807
08/31/2018 18:30:00,1781.279267
08/31/2018 18:35:00,1688.30029
08/31/2018 18:40:00,1585.350173
08/31/2018 18:45:00,1483.536684
08/31/2018 18:50:00,1373.743575
08/31/2018 18:55:00,1271.028754
08/31/2018 19:00:00,1161.749764
08/31/2018 19:05:00,1064.028573
08/31/2018 19:10:00,951.4579164
08/31/2018 19:15:00,834.4280592
08/31/2018 19:20:00,709.7057421
08/31/2018 19:25:00,593.3285308
08/31/2018 19:30:00,479.825255
08/31/2018 19:35:00,309.7885276
08/31/2018 19:40:00,117.2410431
08/31/2018 19:45:00,80.29347401
08/31/2018 19:50:00,36.34829666
08/31/2018 19:55:00,30.33972808
08/31/2018 20:00:00,26.47766847
08/31/2018 20:05:00,21.92160572
08/31/2018 20:10:00,10.06114108
08/31/2018 20:15:00,
08/31/2018 20:20:00,
08/31/2018 20:25:00,
08/31/2018 20:30:00,
08/31/2018 20:35:00,
08/31/2018 20:40:00,
08/31/2018 20:45:00,
08/31/2018 20:50:00,
08/31/2018 20:55:00,
08/31/2018 21:00:00,
08/31/2018 21:05:00,
08/31/2018 21:10:00,
08/31/2018 21:15:00,
08/31/2018 21:20:00,
08/31/2018 21:25:00,
08/31/2018 21:30:00,
08/31/2018 21:35:00,
08/31/2018 21:40:00,
08/31/2018 21:45:00,
08/31/2018 21:50:00,
08/31/2018 21:55:00,
08/31/2018 22:00:00,
08/31/2018 22:05:00,
08/31/2018 22:10:00,
08/31/2018 22:15:00,
08/31/2018 22:20:00,
08/31/2018 22:25:00,
08/31/2018 22:30:00,
08/31/2018 22:35:00,
08/31/2018 22:40:00,
08/31/2018 22:45:00,
08/31/2018 22:50:00,
08/31/2018 22:55:00,
08/31/2018 23:00:00,
08/31/2018 23:05:00,
08/31/2018 23:10:00,
08/31/2018 23:15:00,
08/31/2018 23:20:00,
08/31/2018 23:25:00,
08/31/2018 23:30:00,
08/31/2018 23:35:00,
08/31/2018 23:40:00,
08/31/2018 23:45:00,
08/31/2018 23:50:00,
08/31/2018 23:55:00,
09/01/2018 00:00:00,
09/01/2018 00:05:00,
09/01/2018 00:10:00,
09/01/2018 00:15:00,
09/01/2018 00:20:00,
09/01/2018 00:25:00,
09/01/2018 00:30:00,
09/01/2018 00:35:00,
09/01/2018 00:40:00,
09/01/2018 00:45:00,
09/01/2018 00:50:00,
09/01/2018 00:55:00,
09/01/2018 01:00:00,
09/01/2018 01:05:00,
09/01/2018 01:10:00,
09/01/2018 01:15:00,
09/01/2018 01:20:00,
09/01/2018 01:25:00,
09/01/2018 01:30:00,
09/01/2018 01:35:00,
09/01/2018 01:40:00,
09/01/2018 01:45:00,
09/01/2018 01:50:00,
09/01/2018 01:55:00,
09/01/2018 02:00:00,
09/01/2018 02:05:00,
09/01/2018 02:10:00,
09/01/2018 02:15:00,
09/01/2018 02:20:00,
09/01/2018 02:25:00,
09/01/2018 02:30:00,
09/01/2018 02:35:00,
09/01/2018 02:40:00,
09/01/2018 02:45:00,
09/01/2018 02:50:00,
09/01/2018 02:55:00,
09/01/2018 03:00:00,
09/01/2018 03:05:00,
09/01/2018 03:10:00,
09/01/2018 03:15:00,
09/01/2018 03:20:00,
09/01/2018 03:25:00,
09/01/2018 03:30:00,
09/01/2018 03:35:00,
09/01/2018 03:40:00,
09/01/2018 03:45:00,
09/01/2018 03:50:00,
09/01/2018 03:55:00,
09/01/2018 04:00:00,
09/01/2018 04:05:00,0
09/01/2018 04:10:00,
09/01/2018 04:15:00,
09/01/2018 04:20:00,
09/01/2018 04:25:00,
09/01/2018 04:30:00,
09/01/2018 04:35:00,
09/01/2018 04:40:00,
09/01/2018 04:45:00,
09/01/2018 04:50:00,
09/01/2018 04:55:00,
09/01/2018 05:00:00,
09/01/2018 05:05:00,
09/01/2018 05:10:00,
09/01/2018 05:15:00,
09/01/2018 05:20:00,
09/01/2018 05:25:00,
