"PVWatts: Hourly PV Performance Data"
"Requested Location:","140 Gulf St Milford CT"
"Location:","Lat, Lon: 41.21, -73.06"
"Lat (deg N):","41.21"
"Long (deg W):","73.06"
"Elev (m):","24.272727966309"
"DC System Size (kW):","52.6"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","182"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.159"
"Capacity Factor (%)","14.8"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","2","15","95","68","-3","6","118.78","-1.769","5838.31","5452.903"
"1","2","16","0","0","-4","6","0","-4","0","0"
"1","2","17","0","0","-4","6","0","-4","0","0"
"1","2","18","0","0","-5","7","0","-5","0","0"
"1","2","19","0","0","-6","7","0","-6","0","0"
"1","2","20","0","0","-7","7","0","-7","0","0"
"1","2","21","0","0","-7","7","0","-7","0","0"
"1","2","22","0","0","-7","7","0","-7","0","0"
"1","2","23","0","0","-7","7","0","-7","0","0"
"1","3","0","0","0","-7","7","0","-7","0","0"
"1","3","1","0","0","-7","7","0","-7","0","0"
"1","3","2","0","0","-7","7","0","-7","0","0"
"1","3","3","0","0","-7","7","0","-7","0","0"
"1","3","4","0","0","-7","7","0","-7","0","0"
"1","3","5","0","0","-7","7","0","-7","0","0"
"1","3","6","0","0","-7","7","0","-7","0","0"
"1","3","7","0","5","-7","7","4.727","-8.126","246.894","0"
"1","3","8","0","53","-7","7","52.386","-7.358","2727.564","2407.522"
"1","3","9","0","51","-7","7","48.398","-7.371","2520.098","2204.171"
"1","3","10","294","155","-7","7","377.327","-2.103","19043.969","18304.926"
"1","3","11","34","173","-7","7","209.629","-4.439","10770.449","10267.387"
"1","3","12","84","186","-6","6","261.609","-2.435","13312.478","12742.06"
"1","3","13","67","159","-6","6","215.935","-3.173","11009.641","10500.436"
"1","3","14","189","115","-6","6","242.195","-2.77","12159.167","11619.874"
"1","3","15","33","59","-6","6","77.186","-5.651","3918.971","3574.703"
"1","3","16","0","0","-7","6","0","-7","0","0"
"1","3","17","0","0","-7","6","0","-7","0","0"
"1","3","18","0","0","-7","6","0","-7","0","0"
"1","3","19","0","0","-6","6","0","-6","0","0"
"1","3","20","0","0","-6","6","0","-6","0","0"
"1","3","21","0","0","-6","5","0","-6","0","0"
"1","3","22","0","0","-6","5","0","-6","0","0"
"1","3","23","0","0","-5","5","0","-5","0","0"
"1","4","0","0","0","-5","5","0","-5","0","0"
"1","4","1","0","0","-5","5","0","-5","0","0"
